id;name;dir
9380;Злодейка, перевернувшая песочные часы;
94055;Эта принцесса слишком много работает!;a-princess-who-works-hard
9474;Герой, останавливающий время;time-stop-brave
9554;Добро пожаловать в Японию, Эльф-сан!;welcome-to-japan-elfsan
969;Сумеречная Дева и Амнезия;dusk_maiden_of_amnesia
97599;Данганронпа 2 Прощай Отчаяние;danganronpa-2-goodbye-despair
97877;Данганронпа 1 Пробная Версия;danganronpa-1-trial-version
9828;Юношеская бездна;shounen-no-abyss
98288;Заботливая 800летняя жена Вертикальный комикс;zabotlivaja-800letnjaja-zhena-vertikalnyj-komiks
98309;Заботливая 800летняя жена;
99;Безумный азарт;kakegurui
99676;Король Шаман Начало;
99719;Лето когда погас свет;
